Timestamp;Parameter;Value;Group_ID;X;Y;Z
07-11-2013 14:24:00;Absorbance 205.00_nm;50.02;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 205.00_nm;49.7281;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 205.00_nm;50.0116;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 205.00_nm;53.4492;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 205.00_nm;52.0141;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 205.00_nm;51.2147;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 205.00_nm;50.9828;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 205.00_nm;52.0943;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 205.00_nm;50.8832;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 205.00_nm;50.9715;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 205.00_nm;51.4496;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 205.00_nm;52.5564;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 207.50_nm;47.7875;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 207.50_nm;48.0791;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 207.50_nm;53.0117;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 207.50_nm;49.8863;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 207.50_nm;57.3236;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 207.50_nm;54.0815;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 207.50_nm;53.3407;;580000;255300;455.3
07-11-2013 14:17:00;Absorbance 207.50_nm;55.011;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 207.50_nm;51.0418;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 207.50_nm;49.7978;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 207.50_nm;47.3142;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 207.50_nm;50.8135;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 207.50_nm;54.7654;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 207.50_nm;46.9139;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 207.50_nm;48.3451;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 207.50_nm;48.0385;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 207.50_nm;48.3142;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 207.50_nm;51.6755;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 207.50_nm;50.3062;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 207.50_nm;49.484;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 207.50_nm;49.2923;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 207.50_nm;50.3562;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 207.50_nm;49.1356;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 207.50_nm;49.2486;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 207.50_nm;49.6734;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 207.50_nm;50.7989;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 210.00_nm;46.7632;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 210.00_nm;46.9464;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 210.00_nm;51.836;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 210.00_nm;48.6873;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 210.00_nm;56.0765;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 210.00_nm;52.8105;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 210.00_nm;52.054;;580000;255300;455.3
